customer, age, occupation, regionType,marriageStatus, children, income,numHandsets,handsetAge,smartPhone,currentHandsetPrice, creditRating,homeOwner, creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
1092299,36, professional, , no, false,4,1,300, true,0.0, B, true, true,60.98,210.75,59.99,0.0,0.0,-0.475,0.0,4.25,1.0,0.0,22.84644195,-11.89061734,2.33,10,0.0,0,0,0, true
1086829,24, student, , no, false,4,1,184, true,0.0, B, false, true,50.94,857.25,59.99,0.0,0.0,3.275,0.0206,357.7,67.33,5.67,1.037890097,-2.832552986,7.0,6,1.0,0,0,0, false
1040810,22, , , unknown, false,4,1,648, true,0.0, C, false, true,49.99,182.5,49.99,0.0,0.0,-1.05,0.0,23.65,11.33,0.33,1.683928008,1.99911726,3.0,22,0.0,0,0,0, true
1039213,34, self-employed, , no, true,4,3,437, true,99.99, A, false, true,114.05,1018.0,32.49,269.5,0.0,-1.86,-0.6994,299.78,36.0,6.0,0.668645189,9.469186457000001,89.0,16,0.0,0,0,0, true
1049926,0, , town, unknown, false,0,1,500, true,0.0, F, true, false,114.96,877.75,49.99,183.5,3.01,-4.815,-1.1194,475.89,41.67,12.0,1.6929109880000002,4.511274717,10.33,17,0.0,0,0,0, true
1014287,44, , , yes, false,9,2,88, true,29.99, A, false, true,60.07,513.75,49.99,11.5,4.98,-2.115,-0.2016,10.91,8.0,0.0,4.272727273,7.03935052,6.67,29,0.0,0,0,0, false
1043237,50, professional, suburban, no, false,7,3,580, true,199.99, B, false, true,10.9,47.0,10.0,0.0,0.16,-0.1,-0.018000000000000002,2.14,5.67,0.33,3.141327623,-10.1510959,1.33,21,0.0,0,0,1, true
1067149,40, , , no, true,0,1,447, true,0.0, B, false, false,42.92,310.75,49.99,6.25,0.0,3.565,0.1362,0.0,0.0,0.0,0.0,8.799816765,0.0,15,0.0,0,0,0, false
1080920,44, , suburban, yes, true,6,1,314, true,0.0, B, false, true,10.64,41.75,10.0,0.0,0.64,0.185,-0.0128,2.57,1.0,0.0,1.04125,9.14215896,0.67,11,0.0,0,0,0, true
1003980,30, , suburban, yes, false,8,3,591, false,9.99, A, false, true,29.99,94.5,29.99,0.0,0.0,-0.01,0.0,13.0,0.33,0.0,4.729877217,-0.192321365,2.33,37,0.0,0,0,0, true
1027756,42, , town, yes, true,8,1,647, true,0.0, B, false, true,74.99,1500.0,84.99,0.0,0.0,-21.6,0.0,362.79,39.33,1.33,1.863493976,2.605971148,29.0,21,0.0,0,0,0, true
