customer, age, occupation, regionType,marriageStatus, children, income,numHandsets,handsetAge,smartPhone,currentHandsetPrice, creditRating,homeOwner, creditCard,avgBill,avgMins,avgrecurringCharge,avgOverBundleMins,avgRoamCalls,callMinutesChangePct,billAmountChangePct,avgReceivedMins,avgOutCalls,avgInCalls,peakOffPeakRatio,peakOffPeakRatioChangePct,avgDroppedCalls,lifeTime,lastMonthCustomerCareCalls,numRetentionCalls,numRetentionOffersAccepted,newFrequentNumbers,churn
1054482,0, , suburban, unknown, false,0,1,353, true,0.0, C, true, false,82.94,936.75,74.99,22.5,1.65,-0.515,-0.0272,194.32,70.0,13.33,0.76674888,-3.1339354669999997,51.67,12,3.67,0,0,0, true
1084488,56, professional, s, yes, true,6,1,366, true,0.0, B, false, true,44.99,190.5,54.99,0.0,0.0,0.59,0.0,0.11,0.67,0.0,0.542416452,-15.62921634,1.0,13,0.0,0,0,0, true
1029427,54, professional, town, yes, false,6,1,637, true,0.0, B, false, true,31.99,172.25,30.0,0.0,1.99,2.015,-0.0022,22.34,4.0,0.0,2.225806452,-12.23900685,2.33,21,0.67,0,0,0, false
1038810,0, , , unknown, false,0,1,561, true,0.0, E, true, yes,108.43,1063.25,75.0,113.25,1.65,7.435,1.4788,505.04,62.33,15.67,2.315936211,7.521237271,4.33,18,1.33,0,0,0, false
1068238,40, , , yes, true,6,2,337, true,129.99, B, false, true,53.36,673.5,39.99,66.0,0.2,-2.25,-0.2994,129.78,41.67,17.67,1.013878501,12.89132581,15.67,13,0.67,0,0,0, true
1010275,62, , suburban, yes, false,5,3,398, true,79.99, A, false, true,52.97,380.0,34.98,43.75,0.0,-0.92,-0.1666,109.8,24.0,9.0,3.247029028,12.60930906,15.0,34,0.0,0,0,0, false
1082897,54, , , unknown, false,6,1,309, true,0.0, B, true, false,34.99,203.0,44.99,0.0,0.0,0.92,0.0,18.01,1.67,0.33,3.8834951460000005,-9.40188685,3.0,11,0.0,0,0,0, false
1019832,0, , , unknown, false,0,3,66, true,149.99, D, true, false,83.19,768.0,75.0,32.75,0.0,-13.48,-0.1638,357.47,29.0,1.0,2.652595653,1.095961916,26.67,25,0.0,0,0,0, true
1012592,22, , , unknown, false,1,2,592, false,29.99, C, true, true,100.7,913.75,59.99,135.5,2.35,4.045,0.6216,119.45,43.33,9.67,3.0345066760000003,-4.148678676,4.67,32,0.0,0,0,0, true
1011955,0, , , unknown, false,0,2,170, true,79.99, A, true, false,110.97,283.0,105.98,0.0,1.0,-3.82,-0.0348,46.57,24.67,1.0,3.333333333,-1.210467601,7.0,29,0.0,0,0,0, false
